№;Позиции;Кол-во;Номинал;Корпус;Описание;Где стоит
1;A1;1;ESP32-WROOM-32E;ESP32-WROOM-32E;Модуль ESP32-WROOM-32E 4 МБ (антенна к краю платы);
2;B1;1;MPX5050DP;MPX5100DP;Датчик разрежения 0–50 кПа (NXP), трубка ко входу турбин;вход турбин
3;B2;1;SDP810-500Pa;Sensirion SDP810;Перепад давления на фильтре (трубки до и после фильтра);фильтр
4;B3;1;SDP810-125Pa;Sensirion SDP810;Расходомер: сопло Вентури на входе шланга в бак;расходомер
5;BA1;1;Зуммер 5 В;Зуммер Ø12, 6 мм;Зуммер электромагнитный без генератора 5 В, Ø12, на панели;
6;C1;1;680 мкФ 25 В;Электролит SMD 10×10.5;Накопительный конденсатор после моста (пульсации ≈3 В при 0,25 А);
7;C2;1;10 мкФ 35 В;1206;Вход преобразователя (X5R, 1206);
8;C3;1;100 нФ;0805;Вольтодобавка BST–SW;
9;C4, C5, C6;3;22 мкФ 10 В;1206;Конденсатор SMD 1206 (3216 метрич.), 3.2×1.6 мм;
10;C7, C13;2;1 мкФ;0603;Конденсатор SMD 0603 (1608 метрич.), 1.6×0.8 мм;
11;C8;1;10 мкФ;0805;Питание ESP32 3,3 В (у вывода 3V3);
12;C9, C11, C12;3;100 нФ;0603;Конденсатор SMD 0603 (1608 метрич.), 1.6×0.8 мм;
13;C10;1;10 мкФ;0603;Середина питания АЦП;
14;C14;1;10 нФ;0603;Фильтр датчика разрежения;
15;DA1;1;AP63205WU;AP63205/AP63203 (SOT-23-6);Понижающий преобразователь 3,8–32 В → 5 В, 2 А (SOT-23-6);
16;DA2;1;AMS1117-3.3;AMS1117 (SOT-223);Стабилизатор 3,3 В 1 А для ESP32;
17;FU1;1;T1A;Предохранитель TR5;Предохранитель 1 А (TR5, с задержкой): трансформатор и клапаны;
18;H1, H2, H3, H4;4;;Отверстие M3;Крепёжное отверстие M3;
19;HG1;1;ESP32-S3 5″ 800×480;Плата ESP32-S3 с экраном 800×480;Пульт: плата ESP32-S3 с сенсорным экраном 800×480 (Sunton ESP32-8048S050C или аналог), прошивка firmware/vacuum-panel. TX платы — к PNL_RX контроллера, RX — к PNL_TX;
20;L1;1;6,8 мкГн 1,5 А;CD54 5.8×5.8;Дроссель преобразователя (CD54);
21;M1, M2;2;1200 Вт;Турбина (коллекторный двигатель);Турбина пылесоса: коллекторный двигатель с вентилятором, 230 В, провода;
22;R1;1;47k;0805;Детектор нуля: от выпрямителя к базе;
23;R2, R3;2;10k;0805;Резистор SMD 0805 (2012 метрич.), 2×1.25 мм;
24;R4, R20, R21, R25, R26, R28;6;10k;0603;Резистор SMD 0603 (1608 метрич.), 1.6×0.8 мм;
25;R6, R7, R8, R9, R10;5;220;0603;Резистор SMD 0603 (1608 метрич.), 1.6×0.8 мм;
26;R11, R12, R13, R14, R15;5;360;2010;Резистор SMD 2010 (5025 метрич.), 5×2.5 мм;
27;R22, R23;2;82;0603;Резистор SMD 0603 (1608 метрич.), 1.6×0.8 мм;
28;R24;1;33;0603;Нагрузка ТТ3 (инструмент, до 16 А);
29;R27;1;6,8k;0603;Делитель датчика разрежения 4,7 → 2,8 В;
30;R29, R30, R31, R32;4;4,7k;0603;Резистор SMD 0603 (1608 метрич.), 1.6×0.8 мм;
31;R33;1;1k;0603;База ключа зуммера;
32;RK1, RK2;2;10k B3950;Термистор NTC на проводах;Термистор NTC 10 кОм B3950 в изолированной гильзе на корпусе двигателя (провода в изоляции на 230 В);M1
33;RU1;1;S07K275;Варистор Ø7;Варистор 275 В, Ø7: защита от выбросов сети;
34;SA1;1;EC11;Энкодер EC11;Энкодер с кнопкой под экраном пульта: уставка, параметры на экране;
35;SA2;1;2P 16 А;Выключатель сети 2P 16 А;Выключатель «Питание» на пульте: полное отключение фазы и нуля (всё, включая розетку инструмента);
36;SB3;1;Пуск турбин;Кнопка на панель Ø16;Кнопка «Пуск турбин» под экраном: коротко — пуск и стоп, удержание — пресеты на экране;
